dts_0,id,ticketType,priority,group,milestone,description,created,updated,closed,resolution
32h,tkt-bug-1,bug,critical,backend,v2.1,Authentication service crash on startup,0s,15m,2h,completed
32h30m,tkt-bug-2,bug,high,frontend,v2.1,Shopping cart total calculation error,0s,30m,4h,completed
33h,tkt-bug-3,bug,critical,database,v2.1,Data corruption in user profiles table,0s,10m,6h,completed
33h30m,tkt-bug-4,bug,high,backend,v2.1,Memory leak in payment processor,0s,1h,8h,completed
34h,tkt-bug-5,bug,medium,frontend,v2.2,Button alignment issues on mobile,0s,2h,1d,completed
34h30m,tkt-feat-1,feature,high,frontend,v2.2,Add OAuth social login,0s,1d,5d,completed
35h,tkt-feat-2,feature,medium,backend,v2.3,Implement rate limiting,0s,2d,7d,completed
35h30m,tkt-feat-3,feature,low,frontend,v2.4,Dark mode theme toggle,0s,1d,10d,completed
36h,tkt-feat-4,feature,medium,analytics,v2.3,User activity dashboard,0s,3d,12d,completed
36h30m,tkt-feat-5,feature,high,backend,v2.2,GraphQL API endpoint,0s,2d,,
37h,tkt-task-1,task,low,devops,v2.1,Update CI/CD pipeline docs,0s,1h,2d,completed
37h30m,tkt-task-2,task,medium,devops,v2.2,Migrate to Kubernetes,0s,5d,15d,completed
38h,tkt-task-3,task,low,documentation,v2.2,API reference update,0s,2h,3d,completed
38h30m,tkt-task-4,task,medium,security,v2.1,Security audit and fixes,0s,1d,8d,completed
39h,tkt-enh-1,enhancement,medium,performance,v2.3,Optimize database queries,0s,1d,6d,completed
39h30m,tkt-enh-2,enhancement,low,frontend,v2.3,Improve loading animations,0s,3h,4d,completed
40h,tkt-enh-3,enhancement,high,backend,v2.2,Add caching layer,0s,2d,9d,completed
40h30m,tkt-wrk-1,feature,low,frontend,v2.4,Add notification bell,0s,1d,2d,withdrawn
41h,tkt-wrk-2,bug,medium,backend,v2.2,API timeout on large requests,0s,2h,1d,withdrawn
41h30m,tkt-wrk-3,task,low,documentation,v2.3,Update contribution guide,0s,30m,1d,withdrawn
42h,tkt-dup-1,bug,high,frontend,v2.1,Login form validation error,0s,15m,30m,duplicate
42h30m,tkt-dup-2,feature,medium,backend,v2.2,Add email notifications,0s,1h,2h,duplicate
43h,tkt-open-1,bug,high,backend,v2.2,Intermittent 500 errors on API,0s,1d,,
43h30m,tkt-open-2,feature,medium,frontend,v2.3,Real-time collaboration,0s,2d,,
44h,tkt-open-3,task,low,devops,v2.3,Setup monitoring alerts,0s,4h,,
44h30m,tkt-open-4,enhancement,medium,performance,v2.3,Reduce bundle size,0s,1d,,
45h,tkt-var-1,bug,medium,backend,v2.2,Cache invalidation not working,0s,30m,5h,completed
45h30m,tkt-var-2,feature,low,frontend,v2.4,Add export to CSV feature,0s,4h,2d,completed
46h,tkt-var-3,task,medium,security,v2.2,Update dependencies to latest,0s,2h,1d,completed
46h30m,tkt-quick-1,bug,critical,frontend,v2.1,Broken link on homepage,0s,5m,20m,completed
47h,tkt-quick-2,task,high,devops,v2.1,Rollback failed deployment,0s,10m,30m,completed
47h30m,tkt-quick-3,bug,high,backend,v2.1,Fix typo in error message,0s,2m,15m,completed
2d,tkt-long-1,feature,medium,backend,v3.0,Microservices architecture migration,0s,7d,30d,completed
49h,tkt-long-2,enhancement,low,infrastructure,v3.0,Multi-region deployment,0s,10d,45d,completed
